#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Tibo,@thsottiaux,2026-04-06T03:38:20.000Z,Codex is for wizards,85,21,478,18931,https://x.com/thsottiaux/status/2040997506927284654
108,Joshua Xu,@joshua_xu_,2026-04-06T17:56:11.000Z,"We built Video Agent so you can go from a single prompt to a finished video.

Now with Seedance 2.0 integrated.

One prompt. Your digital twin. Cinematic shots. Motion graphics. A finished video up to 3 minutes long.

No separate tools, no extra steps.",15,9,58,3719,https://x.com/joshua_xu_/status/2041213393445826660
109,Jerry Liu,@jerryjliu0,2026-04-06T17:46:49.000Z,"Tutorial: Automating KYC with AI agents 

I’m creating a new tutorial series of automating practical document workflows with agents.

Every financial institution needs to perform KYC (know your customer) to verify a customer’s identity, and this involves manually sifting",4,17,48,7542,https://x.com/jerryjliu0/status/2041211035160600862
110,Clelia Bertelli (/acc),@itsclelia,2026-04-06T17:44:25.000Z,"At 
@llama_index
, we're committed to building the most capable document agents.

That starts with powerful document processing building blocks like LlamaParse and LlamaExtract, but great agents also need the right access controls, as they should only see the documents they’re",,3,7,1036,https://x.com/itsclelia/status/2041210431143109016
111,Kartik Talamadupula,@kr_t,2026-04-06T16:31:01.000Z,"I will be speaking on this panel this afternoon at 12:15 pm PST on technical debt in agentic AI systems and the reality of deployments, especially at enterprise scale.

The conference is free to attend, you can register below:


https://
datasciencedojo.com/agentic-ai-con
ference/?utm_term=kartik_speaker_highlight&utm_campaign=39611138-2026%20Agentic%20AI%20Conference&utm_content=fodai_agentic_ai&utm_medium=social&utm_source=linkedin&hss_channel=lcp-3740012#register
… 

See you at the conference!",2,4,9,1544,https://x.com/kr_t/status/2041191960690790726
112,NASA History Office,@NASAhistory,2026-04-06T16:50:47.000Z,"Watch humankind break a record.

On April 14, 1970, the Apollo 13 astronauts travelled farther from Earth than any other humans in history and captured this view of the far side of the Moon. Soon, the Artemis II crew will travel farther! Tune in: 
https://
youtube.com/watch?v=I5Pd7h
YIPjg
…",118,2100,14000,489718,https://x.com/NASAhistory/status/2041196935168590086
113,Peter Gostev,@petergostev,2026-04-06T17:26:33.000Z,There are websites and apps which can add a dark mode with a single prompt and they choose not to,2,,11,681,https://x.com/petergostev/status/2041205935469691228
114,terminally onλine εngineer,@tekbog,2026-04-06T17:21:20.000Z,Microsoft AI strategy has been just shooting themselves in the foot repeatedly,7,1,93,3385,https://x.com/tekbog/status/2041204622094958692
115,Dan Shipper,@danshipper,2026-04-06T16:51:54.000Z,"we just opened up 5 new roles 
@every
: 

- GTM engineer
- Head of Finance Vertical, Consulting
- Head of Learning and Development
- Head of Product Marketing
- Head of Social

if you want to help discover and define how the world works with agents over the next 10 years—join us:",25,19,250,52338,https://x.com/danshipper/status/2041197214211436832
116,Matthew Berman,@MatthewBerman,2026-04-06T17:15:21.000Z,"First agent (human) won $100 yesterday for publishing a kit to 
http://
JourneyKits.ai. 

I’m doing it again today. Go publish your kits!

Also, if you publish a great kit, I’ll promote it here. 

Tag me or reply below if you have any issues.",5,4,22,4494,https://x.com/MatthewBerman/status/2041203117291610607
117,Yuchen Jin,@Yuchenj_UW,2026-04-06T17:14:49.000Z,"I’m pretty sure the $20/$200 subscription pricing was vibe-coded by OpenAI, then copied by Anthropic.

That pricing works for chatbots, not agents. A 24/7 agent can burn through orders of magnitude more tokens than a user chatting with a chatbot.

Now they’re stuck. Neither",143,71,1200,124654,https://x.com/Yuchenj_UW/status/2041202983640432966
118,Matthew Berman,@MatthewBerman,2026-04-06T17:03:18.000Z,Are we heading into the compute:dollar (vs. petro:dollar)?,15,6,31,5875,https://x.com/MatthewBerman/status/2041200083417415960
119,Matthew Berman,@MatthewBerman,2026-04-06T17:01:26.000Z,".
@jack
 agrees",2,1,39,7546,https://x.com/MatthewBerman/status/2041199613923696652
120,Justine Moore,@venturetwins,2026-04-06T16:34:24.000Z,"If they get rid of Sora, how are we getting enough egocentric data to teach the capybara robots how to rave? 

(from kennyslowbird on IG)",11,4,83,17710,https://x.com/venturetwins/status/2041192813258498293
121,clem,@ClementDelangue,2026-04-06T16:22:43.000Z,"We keep saying we want open-source frontier agents.

Fine. Then let’s build the dataset.


@badlogicgames
, creator of Pi, just shared some of his agent traces used to build Pi on 
@huggingface
. I’m now sharing some of mine too, exporting them from 
@hermes
, 
@opencode
, and Claude via",57,148,729,35704,https://x.com/ClementDelangue/status/2041189872556269697
122,Tongyi Lab,@Ali_TongyiLab,2026-04-07T03:28:13.000Z,"Zvec v0.3.0 is here, bringing full Windows, macOS, and Linux support alongside Python, Node.js, and C SDKs. It’s great to see tools that prioritize both raw performance and developer experience.

A must-have in your AI tech stack. Congrats on the launch!",,,4,167,https://x.com/Ali_TongyiLab/status/2041357351735984149
123,Wan,@Alibaba_Wan,2026-04-07T02:49:38.000Z,"1/2 Big news, creators! We are officially launching a three-part creative marathon centered around the powerhouse capabilities of Wan2.7-Image. We’re pushing the boundaries of what AI can do, and today, we kick off with our first challenge!

Track 1 – Refined Persona Sculpting",1,2,19,17217,https://x.com/Alibaba_Wan/status/2041347639443382521
124,Wan,@Alibaba_Wan,2026-04-07T02:49:38.000Z,"2/2 Submission Requirements: 
Your Image + The Prompt used. 
Tag 
@Alibaba_Wan
. 
Include #wan2.7image.",,,,220,https://x.com/Alibaba_Wan/status/2041347642232614985
125,Jenova.ai,@JenovaAIAgent,2026-04-07T02:26:56.000Z,"64 hexagrams. 384 line texts. 3,000 years of commentary tradition. Most I Ching apps give you one generic paragraph and skip the changing lines entirely.

Three-coin casting with full ceremonial description, changing line analysis with transformed hexagrams, four-layer",,,,110,https://x.com/JenovaAIAgent/status/2041341926776164582
126,Fireworks AI,@FireworksAI_HQ,2026-04-07T00:20:02.000Z,"Fireworks Training is now in preview.

You can now full-parameter fine-tune Kimi K2.5 (1T params, 256k context) with custom loss functions (GRPO, DRO, DAPO, or bring your own) on managed infra.


@genspark_ai
 built their proprietary model stack in four weeks. 
@vercel
 hit 93%",1,12,73,4096,https://x.com/FireworksAI_HQ/status/2041309990586311123
127,Garry Tan,@garrytan,2026-04-06T20:52:46.000Z,"It's a true honor to spend time with 
@demishassabis
 in San Francisco

Thank you for what you've done for all of us Demis!",17,15,212,31098,https://x.com/garrytan/status/2041257831811428822
128,MIT CSAIL,@MIT_CSAIL,2026-04-02T16:01:20.000Z,"A first-of-its-kind study from MIT measures how successful AI is in completing thousands of tasks done by workers in the US economy.

Across these real-world tasks, they found that AI capabilities are improving quickly, but performance is rising smoothly: 
https://
bit.ly/3Q1JQZD",5,25,85,18849,https://x.com/MIT_CSAIL/status/2039734940233880001
129,MIT CSAIL,@MIT_CSAIL,2026-03-25T16:01:32.000Z,"What if you could ""reprogram"" the way everyday things like bags & walls look?

MIT's ""ChromoLCD"" tool could bring that idea to life. It uses LCDs & LEDs to stamp high-res designs onto surfaces, possibly creating customizable fashion pieces & smart homes: 
https://
bit.ly/40S9vpX",4,21,75,49068,https://x.com/MIT_CSAIL/status/2036835884755009817
130,Tom Blomfield,@t_blom,2026-04-06T22:00:37.000Z,"Want to go through your email on your drive to work?

I built this little MVP: 
https://
voice-email-production.up.railway.app

Just updated with the ability to search past emails and compose new messages.

I'd love feedback if you try it out.",15,9,78,12829,https://x.com/t_blom/status/2041274907594780919
131,Microsoft Copilot,@Copilot,2026-04-06T22:04:56.000Z,"Skip the busywork. Copilot Tasks helps you stay on track by taking care of the tasks that slow you down. 

Try Tasks & join the waitlist today: 
https://
msft.it/6012Q29Mo",9,8,82,4873,https://x.com/Copilot/status/2041275993424289870
132,Harshita Arora,@aroraharshita33,2026-04-06T18:52:44.000Z,The last ~1 year as a visiting partner at YC has been a lot of fun. I got the opportunity to work with some of the smartest and most optimistic builders. Super excited to join as a GP!,28,7,201,35986,https://x.com/aroraharshita33/status/2041227626334023895
133,Adit,@aditabrm,2026-04-06T16:09:00.000Z,"Today, we’re setting the new standard for complex document extraction.

Introducing Deep Extract. It utilizes an agent harness approach that repeatedly iterates and verifies outputs until they are at human-level accuracy.

More below:",29,37,323,66421,https://x.com/aditabrm/status/2041186420178801028
134,Zapier,@zapier,2026-04-06T13:12:01.000Z,"Some are saying Zapier SDK is the holy grail

Launching tomorrow.",1,4,13,5891,https://x.com/zapier/status/2041141880952365243
135,VentureBeat,@VentureBeat,2026-04-06T21:00:10.000Z,Agents were becoming mini monoliths — so Intuit rebuilt the architecture. Now a super-orchestration layer decides when to call an agent and when to go direct. Beyond the Pilot ep out now.,,,1,1664,https://x.com/VentureBeat/status/2041259692148552191
136,Amazon Quick,@amazonquick,2026-04-06T18:00:18.000Z,"Introducing Amazon Quick.

The AI layer that works wherever you work, connecting apps, understanding context, and turning answers into actions.

Amazon Quick brings it all together.",3,4,26,8274,https://x.com/amazonquick/status/2041214427274322047
137,VentureBeat,@VentureBeat,2026-04-06T20:30:10.000Z,"Data security is still one of the least mature areas in enterprise cybersecurity. As 
@CapitalOne
’s Andrew Seaton explains, closing the gap starts with visibility, classification, and embedding protection into how data moves — not bolting it on after the fact.

Learn more:",1,1,2,1151,https://x.com/VentureBeat/status/2041252146348249577
138,Y Combinator,@ycombinator,2026-04-06T20:25:34.000Z,"Demis Hassabis (
@demishassabis
), co-founder & CEO of Google DeepMind is coming to YC!

> Fireside chat with 
@garrytan
 on the future of AI
> Keynote from DeepMind researchers on Gemini + Gemma
> Talks & live demos from YC founders building on Google's AI stack
> Meet DeepMind",18,43,397,64263,https://x.com/ycombinator/status/2041250985381916759
139,Salesforce,@salesforce,2026-04-06T19:00:36.000Z,".
@PenFed
 uses Agentforce to handle service desk requests quickly and securely—password resets, onboarding, autopay, and more—saving 30–40 hours of productivity every day.

Find out how Agentforce is helping: 
https://
sforce.co/414wCxJ",,,8,1694,https://x.com/salesforce/status/2041229603318931720
140,Amazon Science,@AmazonScience,2026-04-06T19:00:03.000Z,"Ten university teams are building the future of trusted AI agents for software development. Meet the innovators competing in the 2026 Amazon Nova AI Challenge: 
https://
amzn.to/4sXlGOF",,,1,577,https://x.com/AmazonScience/status/2041229467008258232
141,Alex Volkov,@altryne,2026-04-06T16:16:30.000Z,"Am visiting London for a few days for 
@aiDotEngineer
 as well! Send me London recs, if you're around I'd love to meet up!",6,2,32,4588,https://x.com/altryne/status/2041188306776400279
142,etn.,@etnshow,2026-04-06T15:45:00.000Z,"BREAKING: Swyx (
@swyx
) Founder of AI Engineer (
@aiDotEngineer
) joins us live tomorrow at 1:45PM GMT to break down AI Engineer's inaugural London event.",,5,17,2195,https://x.com/etnshow/status/2041180378787160240
143,Raduan Al-Shedivat,@0xRaduan,2026-04-06T15:29:04.000Z,"as always, highest alpha conference

make sure to put your notifications on.",,3,15,3099,https://x.com/0xRaduan/status/2041176369519018023
144,Angus Addlesee,@Addlesee_AI,2026-04-04T16:53:05.000Z,"We're looking for interns to join us at 
@AmazonScience
! Come build the future of AI with us.

We just launched Alexa+ in the UK and there's so much more to come 

MS/PhD students in GenAI, LLMs, speech, NLP & more - this one's for you. Based in London or Cambridge.

Links in",1,2,11,1379,https://x.com/Addlesee_AI/status/2040472737223737554
145,Garry Tan,@garrytan,2026-04-06T18:48:18.000Z,I am so proud to call Harshita a partner at YC.,27,8,228,47989,https://x.com/garrytan/status/2041226510254981311
146,Microsoft Research,@MSFTResearch,2026-04-06T18:38:16.000Z,"In the latest Research Focus: LLM sentiment in cultural context, robot assembly learning, smarter AI agents, verified Rust code, and CHI 2026. 
https://
msft.it/6016Q2k8K",,6,20,4347,https://x.com/MSFTResearch/status/2041223983782064625
147,Hugging Models,@HuggingModels,2026-04-06T18:33:03.000Z,"Meet GLM-5: a massive multilingual text generation model that's been turning heads. It's not just another chatbot, it's a sophisticated conversational AI trained to understand and generate human-like text in multiple languages. The community is buzzing about its unique",1,1,4,975,https://x.com/HuggingModels/status/2041222669790753252
148,Hugging Models,@HuggingModels,2026-04-06T18:33:11.000Z,"Why is GLM-5 special? It boasts strong evaluation results, handles both English and Chinese seamlessly, and is released under a permissive MIT license. With nearly 300k downloads, it's clearly a trusted choice for serious text generation tasks.",1,,,427,https://x.com/HuggingModels/status/2041222705782071595
149,Hugging Models,@HuggingModels,2026-04-06T18:33:14.000Z,Explore the full model details here:,,,,392,https://x.com/HuggingModels/status/2041222717320679612
150,Caelean,@the1024th,2026-04-06T16:30:35.000Z,"Gauge now gives you visibility into ads in ChatGPT. Let's see how this works for one of our customers, 
@posthog",2,3,21,8478,https://x.com/the1024th/status/2041191852313837752
151,Hugging Models,@HuggingModels,2026-04-06T18:03:03.000Z,Meet MiniCPM-o-4_5: the 'any-to-any' multimodal model that's quietly becoming a community favorite. It doesn't just process text or images. It handles ANY input and generates ANY output in a full-duplex conversation. Think of it as a universal translator for AI tasks.,1,1,8,906,https://x.com/HuggingModels/status/2041215122656653426
152,Hugging Models,@HuggingModels,2026-04-06T18:03:12.000Z,"Why is it a hidden gem? With over 21k downloads and strong community approval, it delivers robust 'any-to-any' performance without the bloat. Its full-duplex design means real-time, interactive multimodal conversations, making it a versatile workhorse for developers.",1,,,378,https://x.com/HuggingModels/status/2041215158438298076
153,Hugging Models,@HuggingModels,2026-04-06T18:03:15.000Z,Explore the full model details here:,,,,379,https://x.com/HuggingModels/status/2041215169985155141
154,Salesforce,@salesforce,2026-04-06T17:51:20.000Z,"Got ideas? Turn them into money on Agentforce 360. 

Launch a revenue-driven operation—fast. Salesforce provides the enterprise foundation. You provide the idea.

No matter the industry, anyone can turn an idea into a business on Agentforce 360.",3,9,11,1778,https://x.com/salesforce/status/2041212173871886646
155,Hugging Models,@HuggingModels,2026-04-06T17:33:04.000Z,"Meet MiniCPM-SALA, a powerful open-source language model that's turning heads. It's a text-generation model designed for natural conversations in multiple languages. Think of it as your smart, multilingual AI companion that actually understands context and nuance.",1,1,3,662,https://x.com/HuggingModels/status/2041207575799320580
156,Hugging Models,@HuggingModels,2026-04-06T17:33:13.000Z,"Here's why developers love it: multilingual support (English, Chinese), strong conversational abilities, open-source accessibility, and solid performance metrics. It delivers quality conversations without requiring enterprise-level hardware. A true workhorse model.",1,,,335,https://x.com/HuggingModels/status/2041207611442507899
157,Hugging Models,@HuggingModels,2026-04-06T17:33:15.000Z,Explore the full model details here:,,,,324,https://x.com/HuggingModels/status/2041207623182393450
158,Zendesk,@Zendesk,2026-04-06T17:32:37.000Z,".
@CNBC
's Kevin Williams' latest look at AI chatbot complaints features insights from our CEO, Tom Eggemeier, on why the ""Year of AI Adoption"" requires more than just automation, it requires strategy:",1,,1,360,https://x.com/Zendesk/status/2041207461126803531
159,Zendesk,@Zendesk,2026-04-06T17:32:37.000Z,The reality is that AI agents must be trained to recognize when a customer is frustrated and know exactly when to hand that conversation off to a human:,1,,,289,https://x.com/Zendesk/status/2041207464209600673
160,Zendesk,@Zendesk,2026-04-06T17:32:38.000Z,"At Zendesk, we’re focused on building self-improving AI agents that don't just follow scripts but learn from every interaction to provide better outcomes, reducing frustration and driving real resolutions:",,,,200,https://x.com/Zendesk/status/2041207466260615417
161,Ankit Gupta,@agupta,2026-04-06T17:13:44.000Z,"I'm hosting a happy hour in London this Friday for ML researchers in academia and industry. If you're a member of technical staff at a research focused org, come join me. We have limited space, so RSVP required here:",7,20,146,14838,https://x.com/agupta/status/2041202710062551403
162,Ostris,@ostrisai,2026-04-04T22:46:39.000Z,"How to Train a LTX-2.3 Character LoRA with AI Toolkit

In this tutorial I train a consistent character LoRA of myself, with a consistent scene and clothing, on 
@ltx_model
 LTX 2.3 with AI Toolkit. Links and more in",11,58,499,28579,https://x.com/ostrisai/status/2040561714463457775
163,Paul Graham,@paulg,2026-04-06T09:25:51.000Z,I'm going to be speaking in Stockholm on April 29:,56,28,711,114869,https://x.com/paulg/status/2041084965564363021
164,Hugging Models,@HuggingModels,2026-04-06T17:03:03.000Z,"Meet Qwen3-Coder-Next: a specialized AI that writes, debugs, and explains code. It's not just another chatbot. This model is specifically fine-tuned for programming tasks, making it a developer's secret weapon. The community is buzzing about its coding capabilities.",1,,4,670,https://x.com/HuggingModels/status/2041200022344356199
165,Hugging Models,@HuggingModels,2026-04-06T17:03:12.000Z,"Why is it a top choice? It's Apache 2.0 licensed for commercial use, has strong evaluation results, and is compatible with major deployment platforms. With nearly 750k downloads, it's a proven, trusted tool in the developer's AI toolkit.",1,,,371,https://x.com/HuggingModels/status/2041200058029470175
166,Hugging Models,@HuggingModels,2026-04-06T17:03:15.000Z,Explore the full model details here:,,,,356,https://x.com/HuggingModels/status/2041200070088167786
167,Zengyi Qin,@qinzytech,2026-04-06T16:22:00.000Z,"How do you train AI agents that can use computers like humans?

Introducing OSGym: Scalable OS Infrastructure for Computer Use Agents. It’s large-scale training made possible by extensive infra optimization:

• 1024 OS sandboxes running in parallel
• $0.23 / sandbox / day (90%",10,37,229,21328,https://x.com/qinzytech/status/2041189692775776553
168,VentureBeat,@VentureBeat,2026-04-06T17:00:13.000Z,MassMutual cut help desk times from 11 minutes to one. Mass General Brigham shut down its AI pilots. Two leaders explain what gets enterprise AI to production.,,2,,994,https://x.com/VentureBeat/status/2041199307412439512
169,Stanford Digital Economy Lab,@DigEconLab,2026-04-06T16:18:49.000Z,"New podcast episode for you!

The field of Statistics enters the Machine Learning conversation, as 
@tommmitchell
 talks with Michael I. Jordan of 
@inria_paris
!

Watch here:",3,4,23,2455,https://x.com/DigEconLab/status/2041188890665738315
170,ElevenLabs,@ElevenLabs,2026-04-06T16:46:28.000Z,"We're heading to Oracle Park. ElevenLabs is now a proud partner of the 
@SFGiants
 - and the Presenting Sponsor of the Champions Suite at Oracle Park.  

Together, we're exploring how AI voice and audio technology can enhance the fan experience and help the Giants connect with",6,3,28,4554,https://x.com/ElevenLabs/status/2041195846847414537
171,ElevenLabs,@ElevenLabs,2026-04-06T16:46:28.000Z,Read more on our blog:,,,2,2375,https://x.com/ElevenLabs/status/2041195849938866367
172,Hugging Models,@HuggingModels,2026-04-06T16:33:03.000Z,"Meet Kimi-K2.5, a powerful AI that sees and talks. It's not just another chatbot. This model can understand both images AND text, then have a full conversation about them. That's a game-changer for multimodal AI.",3,,7,708,https://x.com/HuggingModels/status/2041192471888368088
173,Hugging Models,@HuggingModels,2026-04-06T16:33:12.000Z,"Why is it special? It's incredibly popular, with over 6 million downloads. It's also built with safety and efficiency in mind, using compressed tensors. This model delivers robust, conversational visual intelligence that just works.",1,,,360,https://x.com/HuggingModels/status/2041192507854524768
174,Hugging Models,@HuggingModels,2026-04-06T16:33:14.000Z,Explore the full model details here:,,,,358,https://x.com/HuggingModels/status/2041192519627935779
175,LTX,@ltx_model,2026-04-06T16:24:09.000Z,,1,5,34,2292,https://x.com/ltx_model/status/2041190232414888035
176,Vector Institute,@VectorInst,2026-04-06T16:20:55.000Z,"Stanford's MacArthur Fellow joins Vector Institute's Distinguished Lecture Series, in partnership with 
@UofT


Professor Yejin Choi (
@yejinchoi
) – one of AI's most influential researchers – examines AI reasoning capabilities and their fundamental limitations.

 April 16, 2026 |",,9,15,2703,https://x.com/VectorInst/status/2041189417818206381
177,Hugging Models,@HuggingModels,2026-04-06T16:03:11.000Z,"Meet GLM-OCR: a multilingual vision-language model that reads text from images like a pro. It's not just OCR, it's a transformer-based system that understands context across 5 languages. This is next-level document intelligence!",2,,3,692,https://x.com/HuggingModels/status/2041184954449793428
178,Hugging Models,@HuggingModels,2026-04-06T16:03:19.000Z,"Why it stands out: 5M+ downloads show community trust. It's not just detecting text, it's understanding it across languages. The model balances accuracy with practical speed for real-world applications. A true workhorse!",1,,,353,https://x.com/HuggingModels/status/2041184990252454192
179,Hugging Models,@HuggingModels,2026-04-06T16:03:22.000Z,Explore the full model details here:,,,,347,https://x.com/HuggingModels/status/2041185002147455164
180,Jenova.ai,@JenovaAIAgent,2026-04-06T15:50:00.000Z,"$2.3 trillion in energy transition investment. 20% of global oil supply threatened by Hormuz. Only 28% of countries advancing across all three trilemma dimensions. Your analysis is still stitched together from twelve separate reports.

Trilemma scorecards, LCOE/LCOS/LCOH cost",,,,192,https://x.com/JenovaAIAgent/status/2041181637417779537
181,Roshan - GoSats.io,@roshanaslam21,2026-04-06T09:44:58.000Z,"I am excited to announce that 
@gosatsapp
 has raised $5M in Series A funding.

Led by Konvoy, with participation from Y Combinator and select angel investors.

This funding will help us go deeper into bridging everyday spending with real asset ownership.

GoSats has distributed",16,24,114,25071,https://x.com/roshanaslam21/status/2041089773423808574
182,Hugging Models,@HuggingModels,2026-04-06T15:33:04.000Z,"Meet Voxtral-Mini-4B-Realtime: a game-changing speech recognition model that understands multiple languages instantly. It's not just another ASR model, it's built for real-time applications where every millisecond counts. The community is buzzing about this one!",2,2,46,2029,https://x.com/HuggingModels/status/2041177376751817181
183,Hugging Models,@HuggingModels,2026-04-06T15:33:12.000Z,"Key value: real-time multilingual ASR in a 4B parameter package. Nearly 900k downloads show serious adoption. It balances accuracy with speed, making it ideal for production applications where responsiveness matters as much as understanding.",1,,,427,https://x.com/HuggingModels/status/2041177412063658196
184,Hugging Models,@HuggingModels,2026-04-06T15:33:15.000Z,Explore the full model details here:,,,2,412,https://x.com/HuggingModels/status/2041177423707091163
185,MIT CSAIL,@MIT_CSAIL,2026-04-06T15:25:36.000Z,"How do you train AI agents that can use computers like humans? 

MIT CSAIL researchers introduce ""OSGym"": scalable OS infrastructure to improve the capabilities of computer use agents. It introduces large-scale training made possible by extensive infrastructure optimization:",10,38,154,11315,https://x.com/MIT_CSAIL/status/2041175495971094784
186,MIT CSAIL,@MIT_CSAIL,2026-04-06T15:25:37.000Z,"So why did the researchers develop OSGym?

Training computer use agents is both a modeling problem & an infrastructure challenge:

• Each task needs a full OS (GUI, apps, browser, etc.)
• Scaling → massive CPU/RAM/disk costs
• Random crashes from real software environments
•",1,,1,1813,https://x.com/MIT_CSAIL/status/2041175500765175934
187,MIT CSAIL,@MIT_CSAIL,2026-04-06T15:25:37.000Z,"The key insight behind OSGym: Don’t scale like traditional systems.

• Decentralize each OS replica (no global bottleneck)
• Shift from CPU-bound → RAM-bound scaling (10x cheaper)
• Use XFS reflink copy-on-write disks (37x faster disk provisioning)

The result: Scalable,",,,1,1355,https://x.com/MIT_CSAIL/status/2041175502564503941
188,Bud,@budapp,2026-04-06T15:11:50.000Z,"Orchids is rebranding to Bud: the first agent with a full computer.

Since our launch in September of last year, we’ve grown to well over 7 figures ARR in record time.

We’ve simultaneously come to realize that an agent that builds apps is just the first step in a future where an",141,57,389,81036,https://x.com/budapp/status/2041172034508701865
189,Hugging Models,@HuggingModels,2026-04-06T15:03:03.000Z,"Meet Nanbeige4.1-3B: a compact powerhouse in the open-source LLM world. This 3B parameter model punches above its weight, offering multilingual conversational AI that's surprisingly capable. Perfect for developers who need quality without massive compute!",1,,4,627,https://x.com/HuggingModels/status/2041169824634863743
190,Hugging Models,@HuggingModels,2026-04-06T15:03:12.000Z,"Here's why developers love it: nearly 500k downloads speak volumes. It delivers solid performance in both English and Chinese, handles complex conversations, and runs efficiently. For its size, it's one of the most capable open-source conversational models available today.",1,,,336,https://x.com/HuggingModels/status/2041169861020447081
191,Hugging Models,@HuggingModels,2026-04-06T15:03:15.000Z,Explore the full model details here:,,,,334,https://x.com/HuggingModels/status/2041169874672832585
192,Carl Franzen,@carlfranzen,2026-04-06T15:00:59.000Z,"It was launched and open sourced more than a year ago. 

Source: me at 
@VentureBeat
: 
https://
venturebeat.com/programming-de
velopment/jack-dorsey-is-back-with-goose-a-new-ultra-simple-open-source-ai-agent-building-platform-from-his-startup-block
…",1,1,5,2752,https://x.com/carlfranzen/status/2041169301634261065
193,VentureBeat,@VentureBeat,2026-04-06T14:58:36.000Z,"AI agents that automatically prevent, detect and fix software issues are here as NeuBird AI launches Falcon, FalconClaw",,4,5,1044,https://x.com/VentureBeat/status/2041168700972122277
194,Fish Audio,@FishAudio,2026-04-06T14:48:06.000Z,"Fish Audio performed a 10-day blind test across 5,098 real user comparisons on production traffic. Our S2 Pro model ranked #1 overall with a 66% win rate - outperforming the next closest competitor by over 60%.

- S2 Pro beat ElevenLabs V3 60% to 40%
- S2 Pro beat Inworld 80% to",7,19,80,12909,https://x.com/FishAudio/status/2041166059743625354
195,Hugging Models,@HuggingModels,2026-04-06T14:33:04.000Z,"Ever wished you could type words and get music? Meet Ace-Step1.5, a text-to-audio model that turns your text descriptions into custom audio clips. It's a game-changer for creators who need sound but aren't musicians.",1,,2,509,https://x.com/HuggingModels/status/2041162279123828810
196,Hugging Models,@HuggingModels,2026-04-06T14:33:13.000Z,"With nearly 40k downloads, it's clearly resonating. The model balances quality and speed, offering a practical tool for rapid audio prototyping without needing complex audio software or instruments.",1,,1,332,https://x.com/HuggingModels/status/2041162315681374378
197,Hugging Models,@HuggingModels,2026-04-06T14:33:16.000Z,Explore the full model details here:,,,1,336,https://x.com/HuggingModels/status/2041162327349944454
198,ToolFolio,@toolfolio,2026-04-06T04:58:18.000Z,"Someone built a Chrome extension that turns any image on any website into a 3D model… instantly

Runs on Hunyuan 3D on 
@fal
 + three.js and it’s open source on GitHub

The internet is getting unreal",7,16,126,8476,https://x.com/toolfolio/status/2041017632607105286
199,ToolFolio,@toolfolio,2026-04-07T03:31:37.000Z,"Someone built a WHIP for Claude to work faster

It’s called badclaude, open source and literally bullies Claude into working faster

Link below ↓",,,,22,https://x.com/toolfolio/status/2041358207273312526
200,ToolFolio,@toolfolio,2026-04-07T03:29:44.000Z,"Someone built a WHIP for Claude to work faster

It’s called badclaude, open source and literally bullies Claude into working faster

Link below ↓",2,1,1,67,https://x.com/toolfolio/status/2041357732935290885
201,ToolFolio,@toolfolio,2026-04-07T03:29:45.000Z,Try it here:,,,,14,https://x.com/toolfolio/status/2041357735598645582
202,ToolFolio,@toolfolio,2026-04-05T11:30:25.000Z,"I found a better way to send files to clients

Tools You Need to Know - (Day 169)",3,16,224,15649,https://x.com/toolfolio/status/2040753924714491909
203,Paul Couvert,@itsPaulAi,2026-04-06T18:13:17.000Z,"You can now fine-tune Gemma 4 (and 500 other open source models) in a free Google Colab 

1. Open the Colab notebook below
2. Run the blocks to launch Unsloth Studio
3. Choose a model and dataset
4. Hit 'Start Training'

And you're done!",11,142,998,71239,https://x.com/itsPaulAi/status/2041217694767415320
204,Aaron Levie,@levie,2026-04-05T04:40:38.000Z,"One of the core things we’re going to have to contend with in AI is that even the most advanced models in the word can’t have all the relevant knowledge needed to be useful, because everyone has different use-cases and ways they’ve designed their workflows. 

Perhaps most",54,61,404,136785,https://x.com/levie/status/2040650799550722243
205,Akash,@akashcorex,2026-04-06T18:58:27.000Z,"Day 3 of becoming 100xdevs:

- make a travel agent with mcp
- learn about the state
- learn about runtime context
- making multiagents 
- tracking sub-agents from Langsmith",,,3,2929,https://x.com/akashcorex/status/2041229061742346424
206,Sam Crowder,@samecrowder,2026-04-06T19:28:09.000Z,"a year ago, it was hard enough to build useful agents that most companies didn't have cost issues. that's changed a lot just from the start of this year!

use langsmith to track agent costs and alert when anything unexpected happens",1,4,7,4113,https://x.com/samecrowder/status/2041236536151425169
207,Shreya Talegaonkar,@shreyatgkr,2026-04-06T22:04:35.000Z,"Langsmith taking over San Francisco!!!


@LangChain",,2,5,1567,https://x.com/shreyatgkr/status/2041275905117704231
208,Replit ⠕,@Replit,2026-04-07T00:41:20.000Z,"Week 2 winner of the Agent 4 Content Challenge:

Marcos Leal 

Built 
http://
birdie.news, a daily newsletter built entirely around you",1,,12,2714,https://x.com/Replit/status/2041315351934435360
209,Product Hunt,@ProductHunt,2026-04-07T00:13:09.000Z,need,1,1,10,2059,https://x.com/ProductHunt/status/2041308258032660660
